Mnemonic,Ord.Mnemonic,Test,TestName,OrderingRecommendation,LOINC,SPECIMENREQUIREMENTS,SampleType,PreferredContainer,AlternateContainer,SampleVolume,HandlingInstructions,Transport,SpecimenStability,UnsuitableSpecimen,TESTING,Frequency,ExpectedTurnAround,ReferenceRange,ResponsibleDept,ReferralLab,NYSDOHApprovalStatus,CPT,Methodology,ADDITIONALINFORMATION,COMPLIANCESTATEMENT,TestCodes
BRCA2 SEQUENCING,,W280,BRCA2 SEQUENCING,"Full gene sequencing of BRCA2 gene to determine if there is a heritable risk for breast, ovarian, or other cancers.  Testing should be based on personal and family history characteristics described below.  ",BRCA2 Interp (38530-2), ,Whole Blood,EDTA (Lavender Top) Tube,See Additional Information,"5.0 mL (3.0 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 1 Week,Heparinized specimens., ,Weekly,10 Days,Reference ranges will be applied per report,Molecular,,Not currently NYSDOH approved,81216,Massive parallel sequencing/Next-generation sequencing of BRCA2 coding regions and splice junctions,"Mutation of BRCA1 or BRCA2 should be suspected in individuals with a personal or family history (1st, 2nd, or 3rd degree relative in either lineage) of any of the following characteristics, based on various professional society guidelines:- Breast cancer diagnosed at age 50 or younger- Ovarian cancer- Multiple primary breast cancers either in the same breast or opposite breast- Both breast and ovarian cancer- Male breast cancer- Triple-negative (estrogen receptor negative, progesterone receptor negative, and HER2/neu negative) breast cancer- Pancreatic cancer with breast or ovarian cancer in the same individual or on the same side of the family- Ashkenazi Jewish ancestry- Two or more relatives with breast cancer, one under age 50- Three or more relatives with breast cancer at any age- A previously identified BRCA1 or BRCA2 pathogenic variant in the familyNote: 'Breast cancer' includes both invasive cancer and ductal carcinoma in situ (DCIS). 'Ovarian cancer' includes epithelial ovarian cancer, fallopian tube cancer, and primary peritoneal cancer.Alternate Sample Type: Purified DNA Sample Quantity: 100 킠 at 50 ng/킠 (Minimum of 20 킠 at a minimum concentration of 15 ng/킠)Specimen Stability: Ultra-frozen: 45 Days",This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"BRCA2, SEQ"
CALPROTECTIN,,F530,CALPROTECTIN,,"Calprotectin, Fecal (38445-3)", ,Stool,"Tightly sealed, leak-proof plastic container",None,5.0 g preferred (1.0 g minimum),Refrigerate or freeze specimen after collection.,Refrigerated or Frozen,Refrigerated: 10 Days; Frozen: 1 Month,Ambient samples. Stool specimens with preservatives., ,"Monday, Wednesday, Friday",1 - 3 Days,<50 mcg/g,Core Laboratory,,Approved,83993,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,CALPROTECTIN
CANDIDA BY PCR,,U870,CANDIDA BY PCR,,"C. albicans (69562-7), C. glabrata (69563-5), C. parapsilosis (72495-5), C. tropicalis (72391-6)", ,APTIMA Vaginal Swab (Orange),APTIMA Collection Container/Swab (Orange),None,1 Swab,"Instructions for vaginal swab specimen collection:  1. Partially peel open the swab package. Remove the swab. Do not touch the soft tip or lay the swab down. If the soft tip is touched, the swab is laid down, or the swab is dropped, use a new APTIMA Vaginal Swab Specimen Collection Kit.  2. Hold the swab, placing your thumb and forefinger in the middle of the swab shaft covering the score line. Do not hold the swab shaft below the score line.  3. Carefully insert the swab into the vagina about 2 inches (5 cm) past the introitus and gently rotate the swab for 10 to 30 seconds. Make sure the swab touches the walls of the vagina so that moisture is absorbed by the swab and then withdraw the swab without touching the skin.  4. While holding the swab in the same hand, unscrew the cap from the tube. Do not spill the contents of the tube. If the contents of the tube are spilled, use a new APTIMA Vaginal Swab Specimen Collection Kit.  5. Immediately place the swab into the transport tube so that the score line is at the top of the tube.  6. Carefully break the swab shaft at the score line against the side of the tube.  7. Immediately discard the top portion of the swab shaft.  8. Tightly screw the cap onto the tube. Vaginal swab specimens must be transported to the laboratory in the APTIMA swab specimen transport medium and tube (orange).",Ambient or Refrigerated,Ambient: 2 Weeks; Refrigerated: 2 Weeks,Specimen other than swab. Frozen specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",3 - 5 Days,Negative,Molecular,,Not currently NYSDOH approved,  87481 x 4,Polymerase chain reaction (PCR)/Melting curve analysis,,This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"C. ALBICANS,C.GLABRATA,C. PARAPSILOSIS,C. TROPICALIS"
"CAVD, CONGENITAL ABSENCE OF THE VAS DEFERENS, CFTR 139 MUTATIONS",,W140,CFTR CAVD,"Test intended for men with symptoms of obstructive azoospermia, and clinical suspicion of congenital absence of the vas deferens (CAVD).","Cystic Fibrosis Genotype 139 Mutations (no LOINC defined at this time), CFTR gene intron 8 poly-T tract variant (43370-6)", ,Whole Blood,EDTA (Lavender Top) Tube,,"5.0 mL (3.0 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 4 Weeks; Frozen: 1 Week,Heparinized specimens., ,"Monday, Thursday",5 - 10 Days,Reference ranges will be applied per report,Molecular,,Not currently NYSDOH approved,"81220, 81224",Massive parallel sequencing/Next-generation sequencing.,,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"CAVD INTERP,cDNA NAME 1,PROTEIN NAME 1,MUTATION 1,RESULT 1,cDNA NAME 2,PROTEIN NAME 2,MUTATION 2,RESULT 2,cDNA NAME 3,PROTEIN NAME 3,MUTATION 3,RESULT 3,FAMILY HX PRESENT 139,CF139 SRC"
"CELIAC DISEASE GENOTYPE , CELIAC DISEASE GENOTYPING, CELIAC",,X800,CELIAC GENOTYPE,,"HLA-DQA1 (44728-4), HLA-DQB1 (43291-4), Serologic Equivalent, Celiac Interpretation", ,Whole Blood,EDTA (Lavender Top) Tube,None,3.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 1 Week,Heparinized specimens, ,"Tuesday, Thursday",5 - 7 Days,Reference ranges will be applied per report,Molecular,,Approved, 81376 x2,PCR and sequence specific oligonucleotide (SSO) probes,,FDA cleared or approved assay,"HLA-DQA1,HLA-DQB1,SEROLOGIC EQUIVALENT,CELIAC INTERPRETATION"
"CH50, CAE TOTAL, CH100, TOTAL COMPLEMENT, TOTAL HEMOLYTIC COMPLEMENT ACTIVITY, CLASSIC COMPLEMENT PATHWAY ASSESSMENT",,F014,CH50,,Total Complement (CH50) (4532-8), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,"CRITICAL FROZEN. Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze immediately. Maintain sample frozen, do not thaw and refreeze. When multiple tests are ordered, submit a separate tube for this test.",Frozen,Frozen: 1 Month,Ambient or refrigerated samples.  Grossly hemolyzed specimen. Heat-inactivated samples., ,"Monday, Wednesday, Friday",1 - 2 Days,Reference ranges will be applied per report,Core Laboratory,,Approved,86162,Liposome Immunoassay (LIA),,FDA cleared or approved assay,CH50
"CLOSTRIDIUM DIFFICILE TOXIN BY PCR, CDIFF, C DIFF BY PCR, C. DIFF TOXIN BY PCR",,U501,C. DIFF TOXIN BY PCR,,"C. diff Toxin by PCR (54067-4), Source", ,Unformed (soft or liquid) Stool,"Tightly sealed, leak-proof plastic container",None,Single or multiple freshly passed stool specimens,"Collect fresh diarrheal (unformed) stool, unless ileus due to C. difficile is suspected, in a clean leak-proof stool collection container without media or preservative.",Refrigerated or Frozen,Ambient: 4 Hours; Refrigerated: 7 Days; Frozen: 7 Days,"Swab specimens, specimens collected after barium enema, or specimens in preservatives.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",2 - 3 Days,Not Detected,Molecular,,Approved,87493,Qualitative Polymerase Chain Reaction (PCR),,FDA cleared or approved assay,"C.DIFF PCR,CDIFF SOURCE"
"CLOZARIL, CLOZAPINE",CLZP,L133,CLOZAPINE,,"Clozapine (6896-5), Norclozapine, Clozapine/Norclozapine Ratio, Clozapine Norclozapine Sum (12375-2)", ,Serum or Plasma,Plain Red Top Tube,EDTA (Lavender Top) Tube or Fluoride (Gray Top) Tube,"1.0 mL (0.2 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions.  Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and refrigerate. Please submit a separate tube for this test.,Refrigerated,Ambient: 3 Days; Refrigerated: 8 Days; Frozen: 1 Month,Gross hemolysis.  Samples collected in serum separator tubes., ,"Monday, Wednesday, Friday",2 - 5 Days,"Typical plasma concentrations of clozapine are 60-1000 ng/mL with average values of 200-400 ng/mL.  A level of 350-420 ng/mL may be considered a threshold to determine non-response.  Concentrations above 1000 ng/mL are associated with increased risk for adverse effects.  A clozapine/norclozapine ratio >3 suggests a non-trough level, or clozapine metabolism may be saturated.  A ratio <0.5 can indicate poor adherence.  A clozapine norclozapine sum >450 ng/mL has been associated with increased response to treatment.",Analytical Chemistry,,Approved,80159,Liquid chromatography/tandem mass spectrometry (LC-MS/MS),"Ideal sampling time for all antiepileptic drugs is immediately before the next oral dose (trough).  If this is not possible, patients should not be advised to delay their scheduled dose for longer than 2-3 hours.  Sample collection and the time that the medication was last ingested should be noted on the requisition.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"CLOZAPINE,NORCLOZAPINE,CLOZ/NORCLOZ RATIO,CLOZ NORCLOZ SUM"
"CMV DNA PCR QUANTITATIVE, CMV DNA PCR PLASMA, CMV DNA PCR QUANT PLASMA",,U820,CMV PCR QUANTITATIVE PLASMA,,"CMV PCR Quantitative (72494-8), CMV PCR Viral Log", ,Plasma,EDTA (Lavender Top) Tube,None,"3.0 mL (0.6 mL minimum, does not allow for repeat testing)",Separate plasma from whole blood within 6 hours of collection by centrifugation at 800-1600 x g for 20 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma to a polypropylene tube for transport. Please submit a separate tube for each viral load ordered.,Refrigerated or Frozen,Refrigerated: 7 Days; Frozen: 6 Weeks,Heparinized specimens. Serum samples., ,"Monday, Wednesday, Friday",2 - 4 Days,Not Detected,Molecular,,Approved,87497,Polymerase chain reaction (PCR) by Roche COBAS AmpliPrep/TaqMan v2.0,"Range of quantitation: 137-9,100,000 IU/mL or 2.14-6.96 log IU/mL.  Samples with CMV DNA detected below the limit of quantitation are reported as <137 IU/mL.  Samples with no CMV DNA detected are reported as 'NOT DETECTED'.",FDA cleared or approved assay,"CMV PCR QN,CMV VIRAL LOG"
"CMV DNA PCR QUANTITATIVE/QUALITATIVE, CMV DNA PCR QUANT/QUAL PLASMA, CMV DNA PCR PLASMA",,U821,CMV PCR QUANTITATIVE AND QUALITATIVE PLASMA,,"CMV PCR Quantitative (72494-8), CMV PCR Viral Log, CMV PCR Qualitative", ,Plasma,EDTA (Lavender Top) Tube,None,"3.0 mL (0.6 mL minimum, does not allow for repeat testing)",Separate plasma from whole blood within 6 hours of collection by centrifugation at 800-1600 x g for 20 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma to a polypropylene tube for transport. Please submit a separate tube for each viral load ordered.,Refrigerated or Frozen,Refrigerated: 7 Days; Frozen: 6 Weeks,Heparinized specimens. Serum samples., ,"Monday, Wednesday, Friday",2 - 4 Days,Not Detected,Molecular,,Approved,87497,Polymerase chain reaction (PCR) by Roche COBAS AmpliPrep/TaqMan v2.0,"Range of quantitation: 137-9,100,000 IU/mL or 2.14-6.96 log IU/mL.  Samples with CMV DNA detected below the limit of quantitation are reported as <137 IU/mL.  Samples with no CMV DNA detected are reported as 'NOT DETECTED'.  Qualitative result is negative if CMV DNA not detected and positive if detected or quantified.",FDA cleared or approved assay,"CMV PCR QN,CMV VIRAL LOG,CMV QL INTERP"
COPPER SERUM,,L800,COPPER,,Copper (5631-7), ,Serum or Plasma,Trace Metal Free No Additive (Royal Blue Top) Tube,Trace Metal Free EDTA (Royal Blue Top) Tube,"1.0 mL (0.2 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions.  Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and refrigerate or freeze.,Refrigerated or Frozen,Ambient: 2 Days; Refrigerated: 2 Weeks; Frozen: 2 Weeks,, ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",2 - 4 Days,Male: 665 - 1480 mcg/LFemale: 810 - 1990 mcg/L,Analytical Chemistry,,Not currently NYSDOH approved,82525,Inductively coupled plasma-mass spectrometry (ICP-MS),"Elevated concentrations of trace elements in serum or plasma collected in tubes that are not trace element-free may be due to contamination. Results should be confirmed with a second specimen collected in a trace element-free tube, such as a royal blue sterile tube (no additive). Diet, medication, and nutritional supplements may introduce interfering substances. Upon the advice of their physician, patients should be encouraged to discontinue nutritional supplements, vitamins, minerals, and non-essential over-the-counter medications for one week prior to collection. Avoid exposure to contrast media for 96 hours prior to collection.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,COPPER
"CREATINE KINASE ISOENZYMES, CK-MM, CK-MB, CK-BB, CK ISOENZYME ELECTROPHORESIS, CREATINE PHOSPHOKINASE ISOENZYMES (CPK), MACRO CREATINE KINASE, MITOCHONDRIAL C",,E160,CREATINE KINASE ISOENZYMES,,"CK Total (2157-6), MM% of Total (15049-0), MB% of Total (12187-1), BB% of Total (15048-2), CK-Macro Type I (26019-0), CK-Macro Type II (26020-8)",  ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze.,Frozen,Refrigerated: 1 Week; Frozen: 1 Month,"Ambient samples. Heparinized or citrated samples. Specimen collected in EDTA (Lavender Top), Fluoride (Gray Top), or iodoacetate tubes. Gross lipemia or hemolyzed samples.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",2 - 3 Days,Age and gender specific reference ranges will be applied per report,Core Laboratory,,Approved," 82550, 82552",Quantitative Enzymatic/Electrophoresis,,FDA cleared or approved assay,"CREATINE KINASE TOTAL,MM% OF TOTAL,MB% OF TOTAL,BB% OF TOTAL,CK-MACRO TYPE I,CK-MACRO TYPE II"
"C-TELOPEPTIDE, BETA-CROSS LAPS, BONE RESORPTION MARKER, C-TERMINAL COLLAGEN CROSSLINKS, CARBOXY TERMINAL COLLAGEN CROSSLINKS, COLLAGEN C TELOPEPTIDE, COLLAGEN TYPE I-C, CTX",,E175,C-TELOPEPTIDE,,C-Telopeptide (41171-0) , ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,"It is recommended to draw blood as fasting, morning samples. Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Maintain sample frozen, do not thaw and refreeze. When multiple tests are ordered, submit a separate tube for this test.",Frozen,Ambient: 6 Hours; Refrigerated: 8 Hours; Frozen: 3 Months,"Grossly hemolyzed samples, heat-inactivated samples. Specimens stabilized with azide.", ,"Tuesday, Thursday",2 - 4 Days,Age and gender specific reference ranges will be applied per report,Core Laboratory,,Approved,82523,Electrochemiluminescence Immunoassay (ECLIA),"Samples should not be taken from patients receiving therapy with high biotin doses (i.e. >5mg/day) until at least 8 hours following the last biotin administration. For long term investigations, samples should always be taken under the same conditions as the baseline sample, serum analyte concentrations are subject to circadian rhythm.",FDA cleared or approved assay,C-TELOPEPTIDE
"CYSTATIN C, CYS C",,E393,CYSTATIN C,Useful in assessing glomerular filtration rate as an alternative to serum creatinine.,Cystatin C (33863-2), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL of Serum,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and refrigerate.,Refrigerated,Ambient: 1 Week; Refrigerated: 1 Week; Frozen: 1 month,Hemolyzed specimens, ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,0-4 months:        1.0-2.9 mg/L4-12 months:       0.9-1.9 mg/L1-17 years:        0.6-1.6 mg/L>17 years:         0.6-1.2 mg/L,Core Laboratory,,Approved,82610,Particle Enhanced Immunoturbidimetric,"Cystatin C is a low molecular weight cysteine protease inhibitor eliminated from the circulation almost entirely by glomerular filtration in the kidneys.  Cystatin C serum concentration is inversely correlated with glomerular filtration rate (GFR).  GFR describes the filtration rate of fluids through the kidneys per unit time and is utilized as an index of overall kidney function.  Measurement or estimation of GFR is essential in monitoring patients with kidney disease and dosing drugs that are excreted by the kidneys.  Most commonly GFR is estimated with equations incorporating serum concentration of creatinine.  However creatinine concentration is influenced by other factors including muscle mass, diet, and tubular secretion.  For these reasons, GFR estimates using creatinine are misleading in some populations.  Several studies suggest cystatin C is superior to serum creatinine for estimating GFR due to minimal effects of the above factors on serum cystatin C concentration.  ",FDA cleared or approved assay,CYSTATIN C
"CYSTIC FIBROSIS GENOTYPING 139, CF139",,W139,CYSTIC FIBROSIS 139,,Cystic Fibrosis Genotype 139 Mutations (no LOINC defined at this time), ,Whole Blood,EDTA (Lavender Top) Tube,None,5.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 1 Week,Heparinized specimens., ,"Monday, Thursday",5 - 10 Days,Reference ranges will be applied per report,Molecular,,Approved,81220,Massive parallel sequencing/Next-generation sequencing,,FDA cleared or approved assay.,"CF139 INTERP,cDNA NAME 1,PROTEIN NAME 1,MUTATION 1,RESULT 1,cDNA NAME 2,PROTEIN NAME 2,MUTATION 2,RESULT 2,cDNA NAME 3,PROTEIN NAME 3,MUTATION 3,RESULT 3,FAMILY HX PRESENT 139,CF139 SRC"
"CYSTIC FIBROSIS GENOTYPING 39, CF39",,W101,CYSTIC FIBROSIS 39,,Cystic Fibrosis Genotype 39 Mutations (38404-0), ,Whole Blood,EDTA (Lavender Top) Tube,None,5.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week,Frozen samples. Heparizined specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",3 - 5 Days,Reference ranges will be applied per report,Molecular,,Approved,81220,Polymerase chain reaction (PCR)/Luminex xMap Technology,,FDA cleared or approved assay,"RESULT,CARRIER STATUS,INDICATION,ETHNICITY CF39,UNUSUAL ETHNICITY,FAMILY HX PRESENT,FAMILY HX,SOURCE"
"CYTOMEGALOVIRUS, CMV WHOLE BLOOD, CMV PCR WB",,U801,CMV PCR QUANT/QUAL,For quantitative detection of Cytomegalovirus (CMV) in whole blood for investigation of CMV infection/disease.,"CMV PCR Quant (34720-3), CMV PCR Viral Log (no LOINC defined at this time), Interpretation (5000-5), Source (31208-2)", ,Whole Blood,EDTA (Lavender Top) Tube,None,"3.0 mL (0.6 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 6 Weeks,NOTE: Plasma samples not accepted for this test (see SRL test U821 or U820).  Heparinized specimens. Serum samples., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1 - 4 Days,Not Detected,Molecular,,Not currently NYSDOH approved,87497,Quantitative Real-Time Polymerase Chain Reaction (PCR),"CMV viral load testing is routinely ordered for managing transplant patients to determine when to initiate preventative therapy, diagnose active disease, and monitor response to therapy. Studies have attempted to correlate CMV baseline viral load with CMV disease status, however, there are no standardized or widely accepted thresholds for diagnosis. The recent introduction of the World Health Organization (WHO) international standard for CMV viral load reporting (IU/mL) may aid in developing standardized thresholds for the evaluation of CMV disease.Whole blood (test set U801) or plasma (test sets U820 or U821) may be used for quantitation of CMV burden. Whole blood CMV viral load determination is usually preferred for assessment of possible CMV-related disease. CMV viral load is found to be higher in whole blood as both cell-free and intracellular viruses are detected. A 10-fold difference (1.0 log IU/mL) in viral load has been commonly documented between these two sample types. However, in a few patients up to 100-fold (2.0 log IU/mL) higher viral loads have been identified in whole blood samples compared to plasma, and occasionally the viral load in plasma was found to be higher than whole blood. Viral load changes of three-fold (0.5 log) to five-fold (0.7 log) are considered clinically significant.Range of quantitation: 177-21,878,000 IU/mL or 2.25-7.34 log IU/mL. Samples with CMV DNA detected below the limit of quantitation are reported as <177 IU/mL and <2.248 log IU/mL. Samples with no CMV DNA detected are reported as Not Detected.This test is not recommended for screening/diagnosis of suspected primary CMV infections in immunocompetent patients. CMV antibody testing may be appropriate in immunocompetent patients.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). Analyte specific reagents are used. The test has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. The results are not intended to be used as the sole means for clinical diagnosis or patient management. This test should not be regarded as investigational or for research use. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"CMV IU/ML,CMV PCR VIRL LOG,CMV INTERP,CMV SOURCE"
"DEHYDROEPIANDROSTERONE, DHEA",,E487,DEHYDROEPIANDROSTERONE (DHEA),,DHEA (2193-1), ,Serum or Plasma,Serum Separator Tube or Plain Red Top Tube,EDTA (Lavender Top) Tube or Heparin (Green Top) Tube,"1.0 mL (0.35 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and refrigerate.,Refrigerated,Ambient: 2 Days; Refrigerated: 1 Week; Frozen: 2 Months,, ,"Tuesday, Wednesday, Thursday, Saturday",1 - 4 Days,Age and gender specific reference ranges will be applied per report,Analytical Chemistry,,Not currently NYSDOH approved,82626,Liquid Chromatography/Tandem Mass Spectrometry (LC-MS/MS),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,DHEA LC-MS/MS
"DRVVT, PT, PTT, LUPUS, PROTHROMBIN TIME, THROMBIN TIME, HEXA PHOSPHO, STACLOT",,F371,LUPUS ANTICOAG EVAL,For the evaluation of possible antiphospholipid syndrome (APS) or an unexplained prolonged PTT.,"Interpretation (3281-3), PT (5902-2), PTT (34571-0), PTT 1:1 Mix (75510-8), Thrombin Time (3243-3), Reptilase (6683-7), PTT Heparin Neutralized (52123-7), dRVVT Screen (6303-2), dRVVT Screen Ratio (15359-3), dRVVT Screen 1:1 Mix (75513-2), dRVVT Confirm (57838-5), dRVVT Confirm Ratio (50410-0), Hexagonal Phospho Neut (33930-9)", ,Platelet Poor Plasma,Citrate (Light Blue Top) Tube,None,"4 aliquot tubes of Platelet Poor Plasma, at least 1 mL each","CRITICAL FROZEN1) Recommend drawing 4 light blue top (3.2% sodium citrate) tubes. Each tube must be properly filled, as the appropriate ratio of blood to anticoagulant is critical to testing.2) Spin sample ASAP at 2000-2500 x g for 15 minutes (or per tube manufacturer's PPP collection instructions).3) Aliquot approximately 3/4 of plasma volume from the top to new tubes, being careful not to touch the buffy coat.4) Spin again according to specifications above and aliquot (again avoiding the buffy coat) into 4 plastic vials, each containing at least 1 mL of PPP.5) Immediately freeze aliquots. Do not thaw and refreeze.NOTE: It is required that plasma be rendered platelet free (<10x10^9/L) according to these instructions prior to freezing. Test results are a direct reflection of sample integrity.",Frozen,Frozen: 2 Weeks,"Samples from patients treated with anticoagulants including heparin, warfarin, and others. Ambient or refrigerated specimen. Aliquots with visible red cells, hemolysis, or clots.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 3 Days,Reference ranges will be applied per report,Core Laboratory,,Approved,"85610, 85730, 85732, 85670, 85525, 85635, 85613, 85613-91 x 2, 85598",Electromechanical clot detection,"If the patient's hematocrit is above 55%, the amount of sodium citrate in the collection tube must be decreased because of decreased plasma volume. Please refer to the following instructions from BD for details on handling these samples: <a href='http://www.bd.com/vacutainer/pdfs/techtalk/TechTalk_May2005_VS7433.pdf'> BD Vacutainer Elevated Hematocrit</a>The Lupus Anticoagulant Evaluation performed by SRL is an algorithmic panel of assays.  The panel includes prothrombin time (PT), activated partial thromboplastin time (aPTT), dilute Russell viper venom time (dRVVT) and hexagonal phase phospholipid neutralization to detect the presence of LA.  Initial testing includes PT, aPTT, and dRVVT screen.  If the aPTT is prolonged, aPTT 1:1 mixing study and Thrombin time are added.  If Thrombin time is prolonged, reptilase and heparin neutralization tests are added to detect the presence of unfractionated or low molecular weight heparin.The dRVVT screen result is used to generate a dRVVT screen ratio.  When the ratio is elevated, indicating possible LA, mixing studies are added to rule out deficiencies of Factors II, V, and X.   When patient plasma is mixed with normal pooled plasma, dRVVT clotting times will generally correct to normal if the initial prolongation was due to a factor deficiency and remain prolonged in the presence of LA. If the dRVVT mixing study remains prolonged, dRVVT confirm assay is performed.  The clotting times for both the dRVVT screen and confirm are utilized to calculate a ratio to indicate the presence or absence of LA.  If LA is not identified by the dRVVT-based testing when the dRVVT screen ratio is elevated or if the aPTT 1:1 mixing study remains prolonged, an additional integrated assay for LA is performed based on the addition of hexagonal phase phospholipids (Staclot LA).  Utilizing an LA sensitive reagent, an aPTT is performed on patient plasma incubated with and without additional hexagonal phase phospholipids.  LA inhibitors present in the patient specimen will be neutralized by hexagonal phase phospholipids and result in a shortened clotting time compared with the mixture which does not contain hexagonal phase phospholipids.  The assay includes a heparin inhibitor and includes normal pooled plasma to exclude factor deficiencies.  ",FDA cleared or approved assay,"LUPUS INTERPRETATION,PROT TIME,PARTIAL THROMBO TIME,1:1 PTT MIXING,THROMBIN TIME1,REPTILASE,PTT HEPARIN NEUT,DRVV SCREEN,DRVVT SCREEN RATIO,1:1 DRVVT SCREEN MIX,DRVV CONFIRM,DRVV CONFIRM RATIO,HEX PHOS NEUT"
